FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VDS
 V A V
606 -38 -5.0431E-06 -38
607 -39 -5.05589E-06 -39
608 -40 -5.06711E-06 -40
609 -41 -5.07689E-06 -41
610 -42 -5.08569E-06 -42
611 -43 -5.09321E-06 -43
612 -44 -5.10018E-06 -44
613 -45 -5.10669E-06 -45
614 -46 -5.11215E-06 -46
615 -47 -5.11719E-06 -47
616 -48 -5.12234E-06 -48
617 -49 -5.12643E-06 -49
618 -50 -5.13077E-06 -50
619 -51 -5.13421E-06 -51
620 -52 -5.1379E-06 -52
621 -53 -5.14059E-06 -53
622 -54 -5.14331E-06 -54
623 -55 -5.14583E-06 -55
624 -56 -5.14899E-06 -56
625 -57 -5.15144E-06 -57
626 -58 -5.15331E-06 -58
627 -59 -5.15594E-06 -59
628 -60 -5.15751E-06 -60
629 -61 -5.15944E-06 -61
630 -62 -5.16119E-06 -62
631 -63 -5.16239E-06 -63
632 -64 -5.16407E-06 -64
633 -65 -5.16561E-06 -65
634 -66 -5.1674E-06 -66
635 -67 -5.16904E-06 -67
636 -68 -5.17074E-06 -68
637 -69 -5.17152E-06 -69
638 -70 -5.17283E-06 -70
639 -71 -5.17466E-06 -71
640 -72 -5.17538E-06 -72
641 -73 -5.1765E-06 -73
642 -74 -5.17788E-06 -74
643 -75 -5.1786E-06 -75
644 -76 -5.18037E-06 -76
645 -77 -5.18037E-06 -77
646 -78 -5.18201E-06 -78
647 -79 -5.18211E-06 -79
648 -80 -5.18341E-06 -80
649 0 7.2048E-09 0
650 -1 -3.73733E-07 -1
651 -2 -7.27693E-07 -2
652 -3 -1.06335E-06 -3
653 -4 -1.38413E-06 -4
654 -5 -1.68659E-06 -5
655 -6 -1.97156E-06 -6
656 -7 -2.24215E-06 -7
657 -8 -2.49671E-06 -8
658 -9 -2.73757E-06 -9
659 -10 -2.96297E-06 -10
660 -11 -3.17615E-06 -11
661 -12 -3.37595E-06 -12
662 -13 -3.56207E-06 -13
663 -14 -3.73642E-06 -14
664 -15 -3.89874E-06 -15
665 -16 -4.04956E-06 -16
666 -17 -4.18967E-06 -17
667 -18 -4.32E-06 -18
668 -19 -4.43993E-06 -19
669 -20 -4.55136E-06 -20
670 -21 -4.65301E-06 -21
671 -22 -4.7466E-06 -22
672 -23 -4.83234E-06 -23
673 -24 -4.90975E-06 -24
674 -25 -4.98012E-06 -25
675 -26 -5.04416E-06 -26
676 -27 -5.10219E-06 -27
677 -28 -5.15471E-06 -28
678 -29 -5.20244E-06 -29
679 -30 -5.244E-06 -30
680 -31 -5.28193E-06 -31
681 -32 -5.31564E-06 -32
682 -33 -5.3463E-06 -33
683 -34 -5.37353E-06 -34
684 -35 -5.39744E-06 -35
685 -36 -5.41919E-06 -36
686 -37 -5.43792E-06 -37
687 -38 -5.45448E-06 -38
688 -39 -5.47011E-06 -39
689 -40 -5.48288E-06 -40
690 -41 -5.49526E-06 -41
691 -42 -5.50623E-06 -42
692 -43 -5.51559E-06 -43
693 -44 -5.52372E-06 -44
694 -45 -5.53153E-06 -45
695 -46 -5.53822E-06 -46
696 -47 -5.54446E-06 -47
697 -48 -5.55016E-06 -48
698 -49 -5.55506E-06 -49
699 -50 -5.55922E-06 -50
700 -51 -5.56316E-06 -51
701 -52 -5.56727E-06 -52
702 -53 -5.57107E-06 -53
703 -54 -5.57393E-06 -54
704 -55 -5.57687E-06 -55
705 -56 -5.57966E-06 -56
706 -57 -5.58186E-06 -57
707 -58 -5.5844E-06 -58
708 -59 -5.58695E-06 -59
709 -60 -5.58923E-06 -60
710 -61 -5.59155E-06 -61
711 -62 -5.59357E-06 -62
712 -63 -5.59525E-06 -63
713 -64 -5.59698E-06 -64
714 -65 -5.59875E-06 -65
715 -66 -5.60047E-06 -66
716 -67 -5.60277E-06 -67
717 -68 -5.60402E-06 -68
718 -69 -5.60466E-06 -69
719 -70 -5.60652E-06 -70
720 -71 -5.60776E-06 -71
721 -72 -5.60893E-06 -72
722 -73 -5.61021E-06 -73
723 -74 -5.61161E-06 -74
724 -75 -5.61323E-06 -75
725 -76 -5.61414E-06 -76
726 -77 -5.61464E-06 -77
727 -78 -5.61579E-06 -78
728 -79 -5.61671E-06 -79
729 -80 -5.61804E-06 -80
730 0 8.3676E-09 0
731 -1 -3.90747E-07 -1
732 -2 -7.62013E-07 -2
733 -3 -1.11472E-06 -3
734 -4 -1.4525E-06 -4
735 -5 -1.77203E-06 -5
736 -6 -2.07344E-06 -6
737 -7 -2.36015E-06 -7
738 -8 -2.63062E-06 -8
739 -9 -2.88688E-06 -9
